id,categoria,pergunta,resposta,palavras_chave,ativo
20,cardapio,Vocês têm promoção?,"Temos frete grátis em pedidos acima de R$80! Fique de olho no nosso Instagram @sakuradeliv para promoções especiais e combos da semana.","promoção, desconto, oferta, barato, promoções, combo especial",true
21,cardapio,Tem opção sem glúten?,"Sim! Vários itens são naturalmente sem glúten: todos os niguiris, temakis, sashimis, edamame, missoshiro e mochis. Os hot rolls e gyoza contêm glúten. Posso indicar opções específicas se quiser!","sem glúten, glúten, celíaco, intolerância, trigo, farinha",true
22,cardapio,Tem opção vegetariana ou vegana?,"Sim! Vegetarianos: Combo Vegetariano, Edamame, Missoshiro, Sunomono e Mochis. Veganos: Edamame e Sunomono. O Combo Vegetariano com 10 peças sai por R$48,90!","vegetariano, vegano, sem carne, plant-based, não come carne",true
23,cardapio,Os pratos têm amendoim?,"Nenhum dos nossos pratos utiliza amendoim. Nossa cozinha não manipula amendoim ou derivados.","amendoim, alergia, amendoas, nozes, castanha",true
24,cardapio,O peixe é fresco ou congelado?,"Nosso salmão é importado e passa por congelamento a -20°C — processo obrigatório e seguro para sashimi. O atum é fresco comprado diariamente. Toda manipulação segue normas da ANVISA.","fresco, congelado, qualidade, peixe, salmão, atum, segurança, sashimi",true
25,cardapio,As porções servem quantas pessoas?,"Combos até 10 peças: 1 pessoa. Combos de 16 peças: 1 a 2 pessoas. Combo Família 30 peças: 3 a 4 pessoas. Sashimis com 5 fatias: 1 pessoa como entrada.","serve, pessoas, porção, quantidade, dividir, família",true
26,cardapio,Posso personalizar ou substituir ingredientes?,"Você pode pedir para remover ingredientes (ex: sem cream cheese, sem cebolinha). Substituições de proteína entre combos não são possíveis. Me diga o que precisa!","customizar, sem, retirar, trocar, modificar, preferência, personalizar, ingrediente",true
27,cardapio,Tem mochi? Quais sabores?,"Sim! Temos Mochi de Morango e Mochi de Matcha (chá verde), R$14,90 cada (2 unidades). Ambos são sem glúten!","mochi, sobremesa, doce, morango, matcha, chá verde",true
28,cardapio,Tem saquê?,"Sim! Temos Saquê Morno e Saquê Gelado, R$19,90 cada (180ml). Vendemos apenas para maiores de 18 anos — confirmamos a idade na entrega.","saquê, sake, bebida alcoólica, japonês, álcool",true
29,qualidade,Como vocês garantem a qualidade do peixe?,"Trabalhamos com fornecedores certificados. O salmão é importado e congelado a -20°C (padrão ANVISA). O atum é fresco comprado diariamente. Nossa cozinha é vistoriada pela vigilância sanitária.","qualidade, fresco, congelado, segurança, higiene, ANVISA, vigilância",true
30,qualidade,Os produtos têm alérgenos?,"Informamos os principais: Glúten (hot rolls, gyoza, shoyu), Laticínios (cream cheese), Crustáceos (camarão), Soja (missoshiro, edamame, shoyu), Peixe (salmão, atum, polvo). Não usamos amendoim. Há risco de contaminação cruzada — informe alergias graves!","alérgenos, alergia, intolerância, laticínios, crustáceos, soja, peixe",true
31,qualidade,Vocês têm nota higiênica ou certificação?,"Nossa cozinha possui alvará sanitário e é inspecionada regularmente pela vigilância sanitária. Seguimos rigorosamente as normas da ANVISA para manipulação de pescados crus.","nota, certificação, higiene, anvisa, vigilância sanitária, alvará",true
32,entrega,Como acompanho meu pedido?,"Você recebe mensagem aqui no WhatsApp quando o pedido for confirmado, quando sair para entrega e quando for entregue. Se quiser uma atualização a qualquer momento é só me perguntar!","acompanhar, status, rastrear, onde está, pedido, atualização",true
33,entrega,O entregador leva maquininha?,"Sim! O entregador sempre leva maquininha para cartão de crédito ou débito. Bandeiras aceitas: Visa, Mastercard, Elo e American Express.","maquininha, cartão na entrega, levar, entregador, máquina",true
34,outros,Tem estacionamento?,"Temos convênio com o estacionamento da [ENDEREÇO — PREENCHER]. Para retirada no balcão há vagas rápidas na rua.","estacionar, estacionamento, vaga, carro, moto, bicicleta",true
35,outros,Aceita reserva de mesa?,"Sim! Fazemos reservas para jantar presencial. Me diga a data, o horário e o número de pessoas que verifico a disponibilidade para você!","reserva, mesa, jantar, sentar, presencial, local, lugar, reservar",true
36,outros,Tem Wi-Fi no local?,"Sim! Temos Wi-Fi gratuito para clientes. A senha é informada na chegada pelo nosso atendente.","wifi, wi-fi, internet, senha, rede",true
37,outros,Vocês têm delivery por aplicativo?,"No momento trabalhamos apenas pelo WhatsApp para garantir o melhor atendimento e preços sem taxas extras. Aqui você tem atendimento direto e personalizado!","iFood, rappi, 99food, aplicativo, app, plataforma",true
38,outros,Tem cadeirinha para criança?,"Sim, temos cadeiras de bebê disponíveis para refeições no local. Reserve com antecedência para garantir!","criança, bebê, cadeirinha, cadeira alta, família",true
39,reclamacao,Recebi meu pedido errado ou faltou item. O que faço?,"Sinto muito pelo transtorno! Me conta o que aconteceu que resolvo agora. Vou te conectar com um atendente para cuidar disso da melhor forma.","errado, faltou, falta, item, diferente, não veio, trocaram, reclamação",true
40,reclamacao,O pedido chegou frio. O que faço?,"Lamento muito! Me diga o número do seu pedido que aciono o responsável agora. Vou te transferir para um atendente para resolver isso com você.","frio, temperatura, chegou frio, ruim, qualidade, insatisfeito, reclamação",true
